YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201503,1417659,554534,1,0,"N","FRIENDLY",39.52,-81.07,3931200,814200
201503,1417659,554534,2,0,"N","FALLS MILLS",39.45,-81,3927000,8100
201503,1417659,554534,3,0,"N","MC KIM",39.38,-80.97,3922800,8058200
201503,1417659,554534,4,0,"N","ALVY",39.47,-80.68,3928200,8040800
201503,1417659,554534,5,0,"N","KIDWELL",39.53,-80.88,3931800,8052800
201503,1417659,554534,6,.78,"E","SISTERSVILLE",39.5702,-80.9853,3934212,8059118
201503,1417659,554535,1,2.39,"E","POINT LOOKOUT SCHOOL",39.4551,-81.0356,3927306,812136
201503,1417659,554535,2,0,"E","HEBRON",39.37,-81.02,3922200,811200
201503,1417659,554535,3,0,"E","SCHULTZ",39.32,-81.25,3919200,8115000
201503,1417659,554535,4,0,"E","CLUSTER",39.33,-81.33,3919800,8119800
201503,1417659,554535,5,2.24,"WSW","RAVEN ROCK",39.4136,-81.1861,3924816,8111166
201503,1417659,554536,1,0,"N","ASHLEY",39.4,-80.67,3924000,8040200
201503,1417659,554536,2,0,"N","SEDALIA",39.37,-80.58,3922200,8034800
201503,1417659,554536,3,0,"N","AVON",39.2,-80.65,3912000,8039000
201503,1417659,554536,4,0,"N","LEOPOLD",39.12,-80.75,397200,8045000
201503,1417659,554536,5,0,"N","OXFORD",39.2,-80.87,3912000,8052200
201503,1417659,554536,6,0,"N","GREENWOOD",39.27,-80.9,3916200,8054000
201503,1417659,554537,1,2.56,"NE","RINEHART",39.4482,-80.4891,3926892,8029346
201503,1417659,554537,2,0,"NE","WYATT",39.43,-80.35,3925800,8021000
201503,1417659,554537,3,0,"NE","LOST CREEK",39.17,-80.35,3910200,8021000
201503,1417659,554537,4,0,"NE","KINCHELOE",39.15,-80.5,399000,8030000
201503,1417659,554537,5,1,"W","JARVISVILLE",39.23,-80.4987,3913800,8029922
201503,1417659,554537,6,0,"W","SALEM",39.28,-80.57,3916800,8034200
201503,1417659,554538,1,0,"N","BOAZ",39.37,-81.48,3922200,8128800
201503,1417659,554538,2,0,"N","WAVERLY",39.33,-81.37,3919800,8122200
201503,1417659,554538,3,1,"NE","DEERWALK",39.2602,-81.3168,3915612,8119008
201503,1417659,554538,4,1,"NE","WALKER",39.1902,-81.3668,3911412,8122008
201503,1417659,554538,5,0,"NE","ROCKPORT",39.07,-81.57,394200,8134200
201503,1417659,554538,6,0,"NE","BELLEVILLE",39.12,-81.73,397200,8143800
201503,1417659,554538,7,0,"NE","PARKERSBURG",39.27,-81.55,3916200,8133000
201503,1417659,554540,1,0,"N","FINCH",39.32,-81.08,3919200,814800
201503,1417659,554540,2,0,"N","TOLL GATE",39.27,-80.92,3916200,8055200
201503,1417659,554540,3,0,"N","AUBURN",39.1,-80.85,396000,8051000
201503,1417659,554540,4,0,"N","BURNT HOUSE",39.05,-80.98,393000,8058800
201503,1417659,554540,5,0,"N","SMITHVILLE",39.1,-81.1,396000,816000
201503,1417659,554540,6,1,"SSW","PETROLEUM",39.1666,-81.2771,399996,8116626
201503,1417659,554541,1,0,"N","MORRISTOWN",39.05,-81.48,393000,8128800
201503,1417659,554541,2,0,"N","FREEPORT",39.13,-81.33,397800,8119800
201503,1417659,554541,3,0,"N","MUNDAY",39,-81.2,3900,8112000
201503,1417659,554541,4,0,"N","CRESTON",38.95,-81.27,3857000,8116200
201503,1417659,554541,5,.5,"S","PEE WEE",38.9428,-81.48,3856568,8128800
201503,1417659,554543,1,0,"N","COLEBANK",39.23,-79.85,3913800,7951000
201503,1417659,554543,2,1,"E","KIRT",39.12,-79.8613,397200,7951678
201503,1417659,554543,3,1,"E","STRINGTOWN",39.03,-79.8814,391800,7952884
201503,1417659,554543,4,0,"E","JUNIOR",38.97,-79.95,3858200,7957000
201503,1417659,554543,5,1,"N","AUDRA",39.0645,-80.07,393870,804200
201503,1417659,554543,6,0,"N","PEELTREE",39.13,-80.22,397800,8013200
201503,1417659,554543,7,0,"N","BROWNTON",39.22,-80.15,3913200,809000
201503,1417659,554548,1,0,"N","PICKLE STREET",39.02,-80.68,391200,8040800
201503,1417659,554548,2,2,"NW","CHURCHVILLE",39.1205,-80.6064,397230,8036384
201503,1417659,554548,3,0,"NW","JANE LEW",39.12,-80.4,397200,8024000
201503,1417659,554548,4,0,"NW","ABERDEEN",39.07,-80.32,394200,8019200
201503,1417659,554548,5,0,"NW","IRELAND",38.82,-80.47,3849200,8028200
201503,1417659,554548,6,0,"NW","WALKERSVILLE",38.87,-80.45,3852200,8027000
201503,1417659,554548,7,0,"NW","COPLEY",38.97,-80.63,3858200,8037800
201503,1417659,554553,1,0,"N","HEMLOCK",38.78,-80.15,3846800,809000
201503,1417659,554553,2,0,"N","ELLAMORE",38.93,-80.1,3855800,806000
201503,1417659,554553,3,0,"N","YOKUM",38.97,-80.07,3858200,804200
201503,1417659,554553,4,2,"NE","FIVE FORKS",39.0205,-80.0737,391230,804422
201503,1417659,554553,5,0,"NE","HODGESVILLE",39.07,-80.2,394200,8012000
201503,1417659,554553,6,0,"NE","LORENTZ",39.02,-80.3,391200,8018000
201503,1417659,554553,7,0,"NE","ROCK CAVE",38.83,-80.33,3849800,8019800
201503,1417659,554553,8,0,"NE","SELBYVILLE",38.75,-80.23,3845000,8013800
201503,1417659,554617,1,0,"N","MONTROSE",39.07,-79.82,394200,7949200
201503,1417659,554617,2,0,"N","AGGREGATES",38.93,-79.92,3855800,7955200
201503,1417659,554617,3,0,"N","PUMPKINTOWN",38.9,-80.02,3854000,801200
201503,1417659,554617,4,0,"N","CASSITY",38.83,-80.03,3849800,801800
201503,1417659,554617,5,0,"N","PICKENS",38.65,-80.22,3839000,8013200
201503,1417659,554617,6,0,"N","VALLEY HEAD",38.55,-80.03,3833000,801800
201503,1417659,554617,7,0,"N","GLADY",38.8,-79.72,3848000,7943200
201503,1417659,554617,8,0,"N","HARMAN",38.92,-79.53,3855200,7931800
201503,1417659,554622,1,0,"N","WEBSTER SPGS",38.48,-80.42,3828800,8025200
201503,1417659,554622,2,1,"W","COWEN",38.42,-80.5685,3825200,8034110
201503,1417659,554622,3,0,"W","DYER",38.38,-80.47,3822800,8028200
201503,1417659,554622,4,1,"E","JERRYVILLE",38.42,-80.2815,3825200,8016890
201503,1417659,554624,1,0,"N","RICHWOOD",38.23,-80.53,3813800,8031800
201503,1417659,554624,2,0,"N","CRAIGSVILLE",38.33,-80.65,3819800,8039000
201503,1417659,554624,3,0,"N","CALVIN",38.33,-80.72,3819800,8043200
201503,1417659,554624,4,1.17,"E","VAUGHAN",38.2806,-81.1084,3816836,816504
201503,1417659,554624,5,0,"E","LEIVASY",38.15,-80.68,389000,8040800
201503,1417659,554629,1,0,"N","COXS MILLS",39.05,-80.83,393000,8049800
201503,1417659,554629,2,0,"N","TROY",39.02,-80.77,391200,8046200
201503,1417659,554629,3,0,"N","GILMER",38.87,-80.72,3852200,8043200
201503,1417659,554629,4,0,"N","CEDARVILLE",38.83,-80.82,3849800,8049200
201503,1417659,554629,5,0,"N","SHOCK",38.77,-80.97,3846200,8058200
201503,1417659,554629,6,0,"N","TANNER",38.98,-80.95,3858800,8057000
201503,1417659,554633,1,1,"NW","MEDINA",39.0102,-81.6332,39612,8137992
201503,1417659,554633,2,2,"NE","LOCKHART",38.9905,-81.5937,3859430,8135622
201503,1417682,554812,3,0,"SW","MARTHA",38,-82.92,3800,8255200
201503,1417682,554812,4,0,"SW","WEBBVILLE",38.18,-82.87,3810800,8252200
201503,1417682,554812,5,2,"N","FALLSBURG",38.199,-82.67,3811940,8240200
201503,1417682,554812,6,1.1,"E","WALBRIDGE",38.0712,-82.5799,384272,8234794
201503,1417682,554812,7,0,"E","CLIFFORD",38,-82.52,3800,8231200
201503,1417682,554813,1,0,"N","RUSH",38.33,-82.78,3819800,8246800
201503,1417682,554813,2,1.13,"W","BAILEY",38.3681,-82.7708,3822086,8246248
201503,1417682,554813,3,.7,"ENE","ROCKDALE",38.4233,-82.6678,3825398,8240068
201503,1417682,554813,4,2.87,"N","SAVAGE BRANCH",38.3715,-82.6017,3822290,8236102
201503,1417682,554813,5,0,"N","BURNAUGH",38.27,-82.58,3816200,8234800
